"Name","Year","Directors","Producers","Actors"
"Mystic River","2003","Clint Eastwood","Judie G. Hoyt, Clint Eastwood, Robert Lorenz","Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne, Marcia Gay Harden, Laura Linney, Emmy Rossum, Cayden Boyd, Robert Wahlberg, Andrew Mackin, Adam Nelson, Tom Guiry, Kevin Chapman, Spencer Treat Clark, Jonathan Togo, Tori Davis, Jenny O'Hara, Connor Paolo, Eli Wallach, John Doman, Cameron Bowen, Jason Kelly, T. Bruce Page, Miles Herter, Shawn Fitzgibbon, Will Lyman, Celine du Tertre, Ari Graynor, Zabeth Russell, Joe Stapleton, Susan Willis, José Ramón Rosario, Tom Kemp, Charley Broderick, Lonnie Farmer, Celeste Oliva, Bates Wilder, Douglass Bowen Flynn, Bill Thorpe, Matty Blake, Ken Cheeseman, Scott Winters, Thomas Derrah, Jim Smith, Patrick Shea, Duncan Putney, Ed O'Keefe, Dave Zee Garison, Michael McGovern, Bill Richards, Michael Peavey, Eric Bruno Borgman, Kevin Conway, Sean Patrick Doherty, Mikey Kelley, Brett Murphy, Lance Norris, Mark O'Leary, Ryan Patrick, John Pungitore, Frank Ridley, Jerry Trupiano, Brian Van Kay, Jillian Wheeler, Kris Williams, Adam LaFramboise, Anthony Taurasi, Brian A. White, Brian Frates, Dean H. Huh, Gary Greenberg, Greg Stechman, J.T. Turner, James DeVoy, John Ferus, Jon Joyce, Loy Lee, Mackenzie Hawe, Marc Vos, Paul Bronk, Richard DeAgazio, Shawn Fogarty, Stephen Kyle, Stephen O'Neil Martin"
"Loverboy","2005","Kevin Bacon","Kevin Bacon, Daniel Bigel, Kyra Sedgwick, Michael Mailer","Kyra Sedgwick, Travis Bacon, Sosie Bacon, Marisa Tomei, Campbell Scott, Oliver Platt, Matt Dillon, Blair Brown, Kevin Bacon, Dominic Scott Kay, Sandra Bullock, Spencer Treat Clark, Melissa Errico, John Lafayette"
"Behind the Red Door","2003","Matia Karrell","Matia Karrell, Kjehl Rasmussen","Kyra Sedgwick, Kiefer Sutherland, Stockard Channing, Chuck Shamata, Hannah Lochner, Corey Staden, Ian Ryan, Jason Carter, Phillip Craig, Laura Press, William Colgate, Frank Holden, Matt Sharpe, Mary Walsh, Joseph Rutten"
"Goodfellas","1990","Martin Scorsese","Irwin Winkler","Ray Liotta, Robert De Niro, Joe Pesci, Lorraine Bracco, Paul Sorvino, Frank Vincent, Frank Sivero, Debi Mazar, Mike Starr, Catherine Scorsese, Samuel L. Jackson, Tony Darrow, Michael Imperioli, Chuck Low, Charles Scorsese, Frank DiLeo, Gina Mastrogiacomo, Henny Youngman, Vincent Gallo, Illeana Douglas, Suzanne Shepherd, Margo Winkler, Welker White, Elaine Kagan, Julie Garfield, Jerry Vale, Christopher Serrone, Beau Starr, Kevin Corrigan, Robert Vinton, Johnny Williams, Frank Pellegrino, Ronald Maccone, Tony Sirico, Joe D'Onofrio, Steve Forleo, Richard Dioguardi, Frank Adonis, Joseph Bono, Angela Pietropinto, Marianne Leone Cooper, Marie Michaels, Lo Nardo, Melissa Prophet, Susan Varon, Elizabeth Whitcraft, Clem Caserta, Fran McGee, Paul Herman, Edward McDonald, Eddie Hayes, Daniela Barbosa, Joel Calandrillo, Gina Mattia, Anthony Valentin, Edward D. Murphy, Michael Citriniti, John Manca, Mark Evan Jacobs, Katherine Wallach, Peter Hock, Erasmus C. Alfano, John Di Benedetto, Manny Alfaro, Thomas Lowry, Margaret Smith, Richard Mullally, Frank Albanese, Paul McIsaac, Bob Golub, Louis Eppolito, Tony Lip, Mikey Black, Peter Cicale, Vincent Pastore, Anthony Alessandro, Victor Colicchio, Mike Contessa, Philip Suriano, Paul Mougey, Norman Barbera, Anthony Polemeni, James Quattrochi, Lawrence Sacco, Dino Laudicina, Thomas E. Camuti, Andrew Scudiero, Irving Welzer, Jesse Kirtzman, Russell Halley, Spencer Bradley, Bob Altman, Joanna Bennett, Gayle Lewis, Gaetano Lisi, Luke Walter, Ed Deacy, Larry Silvestri, John Ciarcia, Vito Picone"
"Crash","2004","Paul Haggis","Cathy Schulman, Don Cheadle, Mark R. Harris, Robert Moresco, Paul Haggis, Bob Yari","Sandra Bullock, Don Cheadle, Matt Dillon, Jennifer Esposito, William Fichtner, Brendan Fraser, Tony Danza, Keith David, Loretta Devine, Karina Arroyave, Dato Bakhtadze, Art Chudabala, Ime N. Etuk, Eddie J. Fernandez, Billy Gallo, Thandie Newton, Terrence Howard, Marina Sirtis, Larenz Tate, Daniel Dae Kim, Ludacris, Ryan Phillippe, Nona Gaye, Michael Peña, Beverly Todd, Sean Cory, Howard Fong, Ken Garito, Octavio Gómez Berríos, James Haggis, Sylva Kelegian, Bruce Kirby, Jayden Lund, Jack McGee, Amanda Moresco, Martin Norseman, Joe Ordaz, Greg Joung Paik, Yomi Perry, Alexis Rhee, Ashlyn Sanchez, Molly Schaffer, Paul E. Short, Bahar Soomekh, Allan Steele, Kate Super, Glenn Taranto, Shaun Toub, Bird York, Curt Clendenin, Nicholas George Stark, Alastair Douglas"
"The Big Wheel","1949","Edward Ludwig","Samuel H. Stiefel, Mort Briskin","Mickey Rooney, Spring Byington, Thomas Mitchell, Hattie McDaniel, Mary Hatcher, Milo O'Shea, Lina Romay"
"A Beautiful Mind","2001","Ron Howard","Brian Grazer, Ron Howard","Russell Crowe, Jennifer Connelly, Ed Harris, Paul Bettany, Christopher Plummer, Adam Goldberg, Anthony Rapp, Josh Lucas, Judd Hirsch, Vivien Cardone, Jason Gray-Stanford, Austin Pendleton, Ron Howard, Tanya Clarke, Victor Steinbach, Jill M. Simon, Jesse Doran, Kent Cassella, Patrick Blindauer, John Blaylock, Roy Thinnes, Anthony Easton, Cheryl Howard, Rance Howard, Jane Jenkins, Darius Stone, Josh Pais, Alex Toma, Valentina Cardinalli, Teagle F. Bougere, David B. Allen, Michael Esper, Eva Burkley, Amy Walz, Tracey Toomey, Jennifer Weedon, Yvonne Thomas, Holly Pitrago, Isadore Rosenfeld, Tommy Allen, Dave Bayer, Brian Keith Lewis, Tom McNutt, Will Dunham, Glenn Roberts, Ed Jupp Jr., Christopher Stockton, Gregory Dress, Carla Occhiogrosso, Matt Samson, Reina Nomura, Kathleen Fellegara, Betsy Klompus, Stelio Savante, Logan McCall, Bob Broder, Michael Abbott Jr., Reggie Austin, Fileena Bahris, Lloyd Baskin, Sean Bennett, Cade Bittner, James Thomas Bligh, Rich Bryant, Dan Chen, Phil Cirincione, Scott Addison Clay, Sean Dillon, Berly Ellis, Jonah Falcon, Fabrizio Fante, Scott Fernstrom, Michael Fiore, Mike Fitzgerald, Todd Fredericks, Gregory Gordon, Evan Hart, Jason Horton, Dory Manzour, Charles McClelland, Jon M. McDonnell, Robert Myers, Charles Pendelton, Reed Penney, Michael Pierce, Mills Pierre, Sean Reid, Brian Smyj, Ned Stuart, Dave Sweeney, Alessandro Tanaka, Douglas Taurel, John H. Tobin, Jeffrey Christopher Todd, Ryan Tygh, Erik Van Wyck, Warner Wolf"
"Julia","1977","Fred Zinnemann","Richard A. Roth","Jane Fonda, Vanessa Redgrave, Jason Robards Jr., Maximilian Schell, Hal Holbrook, Rosemary Murphy, Lisa Pelikan, Dora Doll, Meryl Streep, John Glover, Elisabeth Mortensen"
"Swimming with Sharks","1994","George Huang","Steve Alexander, Joanne Moore","Jerry Levine, Patrick Fischler, Matthew Flint, Roy Dotrice, T.E. Russell, Benicio del Toro, Michelle Forbes, Frank Whaley, Kevin Spacey, Sabryn Genet, Kyle Reed"
"The Last King of Scotland","2006","Kevin Macdonald","Charles Steel, Lisa Bryer, Andrea Calderwood","Forest Whitaker, James McAvoy, Simon McBurney, Kerry Washington, David Oyelowo, Gillian Anderson, Stephen Rwangyezi, Abby Mukiibi Nkaaga, Sam Okelo, Sarah Nagayi, Barbara Rafferty, Joanitta Bewulira-Wandera, Chris Wilson, Apollo Okwenje Omamo, Louis Asea, Cleopatra Koheirwe, David Ashton, Consodyne Buzabo, Adam Kotz"
"The Sting","1973","George Roy Hill","Julia Phillips, Tony Bill, Michael Phillips","Paul Newman, Robert Redford, Robert Shaw, Charles Durning, Harold Gould, Charles Dierkop, Sally Kirkland, Jack Kehoe, Robert Earl Jones, Eileen Brennan, John Quade, Ray Walston, Dana Elcar, John Heffernan, Dimitra Arliss, James Sloyan, Lee Paul, Avon Long, Arch Johnson, Ed Bakey, Brad Sullivan, Larry D. Mann, Leonard Barr, Paulene Myers, Joe Tornatore, Jack Collins, Tom Spratley, Kenneth O'Brien, Ken Sansom, Ta-Tanisha, William Benedict, Patricia Bratcher, Robert Brubaker, Kathleen Freeman, Susan French, Bruce Kimball, Alexander Lockwood, Chuck Morrell, Byron Morrow, Pearl Shear, Arthur Tovey, Guy Way"
"Capote","2005","Bennett Miller","Caroline Baron, Michael Ohoven, William Vince","Philip Seymour Hoffman, Catherine Keener, Clifton Collins Jr., Chris Cooper, Bruce Greenwood, Mark Pellegrino, Amy Ryan, Andrew Farago, Rob McLaughlin, Craig Archibald, David Wilson Barnes, Kelci Stephenson, Jon Ted Wynne, R. D. Reid, Harry Nelken, Bronwen Coleman, Michael J. Burg, Kwesi Ameyaw, Allie Mickelson, Katherine Shindle, Ken Krotowich, Edward Sutton, Jonathan Barrett, Mia Faircloth, Christopher Read, John B. Destry, Bob Balaban, Olie Alto, Jeremy Dangerfield, Araby Lockhart, James Durham, Ainsley Balcewich, Adam Kimmel, Kerr Hewitt, David Rakoff, John Warkentin, Frank Filbert, Marshall Bell, Nazariy Demkowicz, Robert Huculak, John Maclaren, Boyd Johnson, Avery Tiplady, Don Malboeuf, Will Woytowich, C. Ernst Harth, Wayne Nicklas, Norman Armour, Philip Lockwood, Manfred Maretzki, Marina Stephenson Kerr, Bess Meyer, Miriam Smith, Jason Love, Jim Shepard, John Brown, Roy MacEachern, Evelyn Hart, David Ferrall, Chad Bruce, Edgar Governo, Michal Grajewski, Michelle Harrison, Cory Cassidy, Ernesto Griffith, Tiffany Lyndall-Knight, Ryan DeLong, James Janssens, Warren Louis Wiltshire, Bob Washington, Janett Ohoven"
"25th Hour","2002","Spike Lee","Julia Chasman, Jon Kilik, Spike Lee, Tobey Maguire","Edward Norton, Philip Seymour Hoffman, Barry Pepper, Rosario Dawson, Brian Cox, Anna Paquin, Aaron Stanford, Dania Ramirez, Al Palagonia, Isiah Whitlock Jr., Tony Siragusa, Levan Uchaneishvili, Misha Kuznetsov, Michael Genet, Tony Devon, Patrice O'Neal, Vanessa Ferlito, Marc H. Simon, Armando Riesco, Brad Williams, Rodney Bear Jackson, Keith Nobbs, Felicia Finley, Radu Spinghel, Igor Zhivotovsky, Paul Diomede, Cynthia Darlow, Michole Briana White, Coati Mundi, Larissa Drekonja, Christine Pepe, Lawrence Bullock, Patrick Illig, Maja Niles, Daniel Reton, Ed Rubeo, Peter James Kelsch, A.J. McCoy, R.L. Brazil, Howard Crowns, Cipha Sounds, Jamil Mullen, Louis Modafferi, Alan Taraseiwicz, Nicholas Rossomodo, Jeffrey Palazzo, Douglas Miller, Andre Fletcher, Carl Bini, Joseph Mascall, John Bergen, Mark Alan, Keith Bright, Gabe Castillo, Sal Cecere, Tonya Cornelisse, Vinny DeGennaro, Korey Duke, Alexander Emmert, Guy A. Fortt, Brent Gorcie, Jason Horton, Frank Matthews, Karen Nazarov, Greg Orvis, Jason Pierce, Rumaisa Rahman, Arloa Reston, Stacy Lynn Spierer, Mike Fiore, King Orba, Vladimir Kozlov, Keith Bright"
"Mumford","1999","Lawrence Kasdan","Lawrence Kasdan, Charles Okun","Loren Dean, Hope Davis, Jason Lee, Alfre Woodard, Mary McDonnell, Zooey Deschanel, Martin Short, Jane Adams, Ted Danson, Pruitt Taylor Vince, David Paymer, Jason Ritter, Dana Ivey, Kevin Tighe, Elisabeth Moss, Kelly Monaco, Robert Stack, Kirk Fox, Scott N. Stevens, Eddie Allen, Rick Dial, Joy Carlin, Helene Cardona, Priscilla Barnes, Steven Sennett, Amanda Carlin, Randall King, Arell Blanton, Eddie McClintock, Molly Schaffer, Simon Helberg, Lucie Laurier, Sam Sako, Penny Safranek, David Doty, Pamela Paulshock, Kathryn Howell, Sulo Williams, Simone Kerrick, Barbara Tuss, Ronald B. Morefield, Dick Mallon, Gea Carr, Chase Allen, Bryan Close, James Hiser, Roger Oyama, Naomi Sample, Joe Voltierra, Ron Kaell, T.J. Blair, Charles Okun, Douglas Bennett, Krystee Clark, Natalie Hays, Holt McCallany, Julie Nunis"
"Down in the Valley","2005","David Jacobson","Stavros Merjos, Bill Migliore, Edward Norton, Adam Rosenfelt, Holly Wiersma, David Jacobson","Edward Norton, Evan Rachel Wood, David Morse, Rory Culkin, Kat Dennings, Muse Watson, Christina Cabot, Bruce Dern, Artel Great, Hunter Parrish, Ellen Burstyn, Aviva Farber, Ty Burrell, John Diehl, Elizabeth Peña, Geoffrey Lewis"
"Pretty in Pink","1986","Howard Deutch","Lauren Shuler Donner","Molly Ringwald, Harry Dean Stanton, Jon Cryer, Annie Potts, James Spader, Andrew McCarthy, Andrew Dice Clay, Kate Vernon, Kristy Swanson, Gina Gershon, Margaret Colin, Jim Haynie, Christian Richard Jacobs, Alexa Kenin, Emily Longstreth, Jamie Anders, Bader Howar, Audre Johnston, Melanie Manos, Maggie Roswell, Dweezil Zappa, Jimmie Podrasky, Tommy Blatnick, Timothy J., Terry Wilson, Bruno Coon, Jeffrey Hollie, Kevin Ricard, David Sutton, Kevin T. Williams, Rock Deadrick, Karen Laine, Kevin D. Lindsay, William Winckler"
"Zodiac","2007","David Fincher","Cean Chaffin, Brad Fischer, Mike Medavoy, Arnold Messer, James Vanderbilt","Robert Downey Jr., Anthony Edwards, Brian Cox, John Carroll Lynch, Matt Winston, Jules Bruff, Chloë Sevigny, Ed Setrakian, Dermot Mulroney, Adam Goldberg, Clea DuVall, John Lacy, John Getz, John Terry, Candy Clark, Elias Koteas, Donal Logue, June Diane Raphael, Ciara Hughes, Lee Norris, Patrick Scott Lewis, Pell James, Philip Baker Hall, David Lee Smith, Jason Wiles, James Carraway, Tom Verica, Doan Ly, Charles Schneider, Bob Stephenson, Richmond Arquette, Richmond Arquette, Barry Livingston, Ione Skye, Jonathan Hartnell, Benjamin Hartnell, Bryan C. Hartnell, Monica Hartnell, Karina Logue, Jimmi Simpson, Zach Grenier, Shane Woodson, Joel Bissonnette, John Ennis, J. Patrick McCormack, James LeGros, Charles Fleischer, Paul Schulze, Adam Trese, Penny Wallace, John Hemphill, Michel Francoeur, Thomas Kopache, Christopher John Fields, John Mahon, Stanley Herman, Giovanna Spuria, Martin Andris, Felix J. Boyle, Geoff Callan, Brad Carr, Cabran E. Chamberlain, Mitchell Fink, Betty Murphy, Derris Nile, James Joseph O'Neil, Jeff Daniel Phillips, Peter Quartaroli, Brett Rickaby, Micah Sauers, Zachary Sauers, Bill Seward, Callie Thompson, Cassius Willis, Charles Schneider, Mark Ruffalo, Jake Gyllenhaal, David Winston Barge, Rod Damer, François Emanuel Dominick, Erica Ford, Tish Hicks, Janis Jones, Danielle McKee, Jim McNichols, David Alan Poe, Jack Samson, April Vancelette"
"Titanic","1997","James Cameron","James Cameron, Jon Landau","Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher, Gloria Stuart, Bill Paxton, Bernard Hill, David Warner, Victor Garber, Jonathan Hyde, Suzy Amis, Lewis Abernathy, Nicholas Cascone, Danny Nucci, Jason Barry, Ewan Stewart, Eric Braeden, Jonathan Phillips, Bernard Fox, Ioan Gruffudd, James Cameron"
"Home of the Brave","1949","Mark Robson","Stanley Kramer","Douglas Dick, Jeff Corey, Lloyd Bridges, Frank Lovejoy, James Edwards"
"The Hoax","2006","Lasse Hallström","Betsy Beers, Leslie Holleran, Joshua Maurer, Bob Yari, Mark Gordon","Richard Gere, Alfred Molina, Hope Davis, Marcia Gay Harden, Stanley Tucci, Julie Delpy, Eli Wallach, Christopher Evan Welch, John Carter, Željko Ivanek, David Aaron Baker, Peter McRobbie, John Bedford Lloyd, Okwui Okpokwasili, Stuart Margolin, Milton Buras, Judi Barton, Antonie Knoppers, Mamie Gummer, Raul Julia Jr., James Biberi, Bob Wiltfong, William Fowle, Carlton Wilborn, Steve Buck, John Rothman, Eric Yellin, Jimmy King, Daniel Okrent, Richard Rosen, Myk Watford, Tom Mulligan, Aurelio Lima, Jeremiah Wiggins, Susan Misner, Jennifer Layne Park, Michael Barkann, Ian O'Malley, Ed Crane, Sam Kitchin, Don Picard, Tim Gallin, Reid Lamberty, Jonathan Freeman, James Riordan, Marceline Hugot, Adam Auslander, Ted Neustadt, Greg Abbey, Anya Avaeva, Andrea Bertola, Lisa Burrascano, Mike Clemente, Marshall Factora, Marc Fogel, Jon Frankel, Charles Gemmill, Shevy Berkovits Gutierrez, Dennis Karagovalis, Edward M. Kelahan, Elizabeth Marley, Caleb Mayo, Denis McKeown, Dan Nainan, Lisa Marie Palmieri, Alia Catherine Tarraf, Cameron Taylor, Paul Thornton, Kathleen Truitt"
